Date,Price
02-01-2024,462.4
01-01-2024,468.9
12-01-2023,445.35
11-01-2023,498.35
10-01-2023,429.8
09-01-2023,450.85
08-01-2023,360.35
07-01-2023,362.7
06-01-2023,282.3
05-01-2023,282.3
04-01-2023,302.8
03-01-2023,283.2
02-01-2023,301.75
01-01-2023,364.35
12-01-2022,329.65
11-01-2022,404.45
10-01-2022,389.45
09-01-2022,418.1
08-01-2022,477.9
07-01-2022,518.3
06-01-2022,496.4
05-01-2022,453.3
04-01-2022,481.4
03-01-2022,435.6
02-01-2022,486.7
01-01-2022,511.3
12-01-2021,490.95
11-01-2021,432.6
10-01-2021,460.45
09-01-2021,482.45
08-01-2021,365.5
07-01-2021,381.35
06-01-2021,294.3
05-01-2021,288.6
04-01-2021,266.95
03-01-2021,278.9
02-01-2021,347.75
01-01-2021,321.35
12-01-2020,346.5
11-01-2020,314.5
10-01-2020,270.4
09-01-2020,274.25
08-01-2020,262.75
07-01-2020,185.65
06-01-2020,187.95
05-01-2020,158.05
04-01-2020,198.05
03-01-2020,210.25
02-01-2020,345.75
01-01-2020,396.3
12-01-2019,415.4
11-01-2019,393.45
10-01-2019,414.75
09-01-2019,405.65
08-01-2019,466.45
07-01-2019,391.25
06-01-2019,434.3
05-01-2019,494.7
04-01-2019,457.35
03-01-2019,460.65
02-01-2019,346.9
01-01-2019,343.2
12-01-2018,346.45
11-01-2018,339.9
10-01-2018,324
09-01-2018,403.25
08-01-2018,513.25
07-01-2018,411.9
06-01-2018,372.7
05-01-2018,401.05
04-01-2018,428.85
03-01-2018,423.5
02-01-2018,399.7
01-01-2018,423.1
12-01-2017,419.75
11-01-2017,409.75
10-01-2017,354
09-01-2017,313.1
08-01-2017,258.5
07-01-2017,232
06-01-2017,243.63
05-01-2017,226.77
04-01-2017,222.65
03-01-2017,190.4
02-01-2017,127.85
01-01-2017,121.85
12-01-2016,108.07
11-01-2016,97.3
10-01-2016,148.2
09-01-2016,124.75
08-01-2016,116.18
07-01-2016,127.25
06-01-2016,122.65
05-01-2016,110.07
04-01-2016,107.68
03-01-2016,112.72
02-01-2016,95.88
01-01-2016,117.8
12-01-2015,117.35
11-01-2015,119.9
10-01-2015,112.05
09-01-2015,110.5
08-01-2015,113.78
07-01-2015,135.85
06-01-2015,132.73
05-01-2015,137.1
04-01-2015,131.7
03-01-2015,124.8
02-01-2015,142.4
01-01-2015,123.88
12-01-2014,140.02
11-01-2014,148.93
10-01-2014,150.55
09-01-2014,152.5
08-01-2014,149.07
07-01-2014,167.63
06-01-2014,179.8
05-01-2014,175
04-01-2014,153.82
03-01-2014,135.38
02-01-2014,134.05
01-01-2014,133.45
12-01-2013,151.05
11-01-2013,171
10-01-2013,171.98
09-01-2013,146.8
08-01-2013,157.38
07-01-2013,184.8
06-01-2013,193.63
05-01-2013,201.95
04-01-2013,208.7
